,km,delta_year,delta_year_km,target,lower,upper,90 percentile variation,model
0,97500.0,5.0,487500.0,136083808.0,116020652.0,156146964.0,-15.0,suzuki ertiga
1,87500.0,6.0,525000.0,120551633.0,100488477.0,140614789.0,-17.0,suzuki ertiga
2,52500.0,2.0,105000.0,146981780.0,126918624.0,167044936.0,-14.0,suzuki ertiga
3,37500.0,2.0,75000.0,161843141.0,141779985.0,181906297.0,-12.0,suzuki ertiga
4,7500.0,1.0,7500.0,172407461.0,152344305.0,192470617.0,-12.0,suzuki ertiga
5,7500.0,1.0,7500.0,172407461.0,152344305.0,192470617.0,-12.0,suzuki ertiga
6,92500.0,5.0,462500.0,130899786.0,110836630.0,150962942.0,-15.0,suzuki ertiga
7,47500.0,3.0,142500.0,151622537.0,131559381.0,171685693.0,-13.0,suzuki ertiga
8,97500.0,6.0,585000.0,119270271.0,99207115.0,139333427.0,-17.0,suzuki ertiga
9,32500.0,2.0,65000.0,150145887.0,130082731.0,170209043.0,-13.0,suzuki ertiga
10,87500.0,3.0,262500.0,139903770.0,119840614.0,159966926.0,-14.0,suzuki ertiga
11,22500.0,6.0,135000.0,134474333.0,114411177.0,154537489.0,-15.0,suzuki ertiga
12,27500.0,3.0,82500.0,145716980.0,125653824.0,165780136.0,-14.0,suzuki ertiga
13,52500.0,3.0,157500.0,148461455.0,128398299.0,168524611.0,-14.0,suzuki ertiga
14,67500.0,3.0,202500.0,134813323.0,114750167.0,154876479.0,-15.0,suzuki ertiga
15,42500.0,2.0,85000.0,136924880.0,116861724.0,156988036.0,-15.0,suzuki ertiga
16,47500.0,2.0,95000.0,150381536.0,130318380.0,170444692.0,-13.0,suzuki ertiga
17,22500.0,4.0,90000.0,137863101.0,117799945.0,157926257.0,-15.0,suzuki ertiga
18,77500.0,5.0,387500.0,126742088.0,106678932.0,146805244.0,-16.0,suzuki ertiga
19,52500.0,4.0,210000.0,137319799.0,117256643.0,157382955.0,-15.0,suzuki ertiga
20,117500.0,6.0,705000.0,128246189.0,108183033.0,148309345.0,-16.0,suzuki ertiga
21,32500.0,5.0,162500.0,128208823.0,108145667.0,148271979.0,-16.0,suzuki ertiga
22,67500.0,6.0,405000.0,123852025.0,103788869.0,143915181.0,-16.0,suzuki ertiga
23,112500.0,5.0,562500.0,132650146.0,112586990.0,152713302.0,-15.0,suzuki ertiga
24,22500.0,1.0,22500.0,157088632.0,137025476.0,177151788.0,-13.0,suzuki ertiga
25,67500.0,3.0,202500.0,134813323.0,114750167.0,154876479.0,-15.0,suzuki ertiga
